,href
0,https://newyork.craigslist.org/brk/roo/d/brooklyn-unfurnished-room-available-for/7014555337.html
1,https://newyork.craigslist.org/que/roo/d/long-island-city-warning-750-great-size/7011883795.html
2,https://newyork.craigslist.org/que/roo/d/woodside-room-for-rent/7012660168.html
3,https://newyork.craigslist.org/mnh/roo/d/new-york-duplex-3-bedroom-2-bathroom/7007408443.html
4,https://newyork.craigslist.org/mnh/roo/d/new-york-large-room-in-midtown-1480/7014554573.html
5,https://newyork.craigslist.org/mnh/roo/d/new-york-completely-furnished-2/7013046675.html
6,https://newyork.craigslist.org/lgi/roo/d/amityville-room-for-rent-single-occupant/7014551266.html
7,https://newyork.craigslist.org/brk/roo/d/brooklyn-two-spacious-rooms-available/7014551642.html
8,https://newyork.craigslist.org/brx/roo/d/bronx-lovely-large-bedroom-laundry-tv/7014540571.html
9,https://newyork.craigslist.org/que/roo/d/corona-rento-cuarto-para-1-persona/7012886727.html
10,https://newyork.craigslist.org/wch/roo/d/hartsdale-roommate-wanted-2018-share/7014519755.html
11,https://newyork.craigslist.org/brx/roo/d/bronx-apartment-for-rent/7014543954.html
12,https://newyork.craigslist.org/brk/roo/d/brooklyn-cheap-room-in-sunset-park/7014546417.html
13,https://newyork.craigslist.org/brk/roo/d/brooklyn-large-room-in-huge-2br/7014542260.html
14,https://newyork.craigslist.org/brk/roo/d/brooklyn-large-furnished-room-artist/7014544614.html
15,https://newyork.craigslist.org/mnh/roo/d/nov-to-begin-in-created-section-area-of/7014539812.html
16,https://newyork.craigslist.org/brk/roo/d/brooklyn-apartment-share-december-to-may/7014540223.html
17,https://newyork.craigslist.org/brk/roo/d/brooklyn-small-room-near-brooklyn/7014538060.html
18,https://newyork.craigslist.org/que/roo/d/corona-room-for-rent/7012476045.html
19,https://newyork.craigslist.org/brx/roo/d/bronx-2-bedroom-basementall-utilities/7014541866.html
20,https://newyork.craigslist.org/que/roo/d/sunnyside-nice-large-private-room/7014527305.html
21,https://newyork.craigslist.org/brx/roo/d/bronx-semi-furnished-750/7014542418.html
22,https://newyork.craigslist.org/jsy/roo/d/jersey-city-short-termfurnished-private/7014540679.html
23,https://newyork.craigslist.org/wch/roo/d/hartsdale-roommate-wanted-2018-share/7014519607.html
24,https://newyork.craigslist.org/wch/roo/d/bronx-1-beautiful-room-furnished-for/7011920201.html
25,https://newyork.craigslist.org/mnh/roo/d/new-york-room-available-for-november/7009004644.html
26,https://newyork.craigslist.org/mnh/roo/d/baltimore-am-in-need-of-roommate-to/7014518259.html
27,https://newyork.craigslist.org/wch/roo/d/hartsdale-room-in-quiet-apartment/7014524322.html
28,https://newyork.craigslist.org/wch/roo/d/harrison-room-for-rent/7014535614.html
29,https://newyork.craigslist.org/brk/roo/d/brooklyn-sunny-room-in-bedstuy/7014533793.html
30,https://newyork.craigslist.org/brk/roo/d/brooklyn-bedroom-available/7003732942.html
31,https://newyork.craigslist.org/brk/roo/d/brooklyn-room-available-asap/7014528407.html
32,https://newyork.craigslist.org/mnh/roo/d/new-york-private-room-for-rent/7014536221.html
33,https://newyork.craigslist.org/mnh/roo/d/new-york-city-roommate-needed-in-2-bdrd/7009798672.html
34,https://newyork.craigslist.org/brk/roo/d/brooklyn-roommate-wanted/7012932560.html
35,https://newyork.craigslist.org/que/roo/d/college-point-room-for-rent/7014523088.html
36,https://newyork.craigslist.org/brk/roo/d/long-island-city-artsy-loft-one-bedroom/7014532859.html
37,https://newyork.craigslist.org/mnh/roo/d/st-marks-pl-male-loft-for-dec-01/7014532794.html
38,https://newyork.craigslist.org/brk/roo/d/brooklyn-exposed-brick-room-in-3br/7014532173.html
39,https://newyork.craigslist.org/brk/roo/d/brooklyn-1-bedroom-available-in/7014531128.html
40,https://newyork.craigslist.org/jsy/roo/d/trenton-room-for-rent/7014530337.html
41,https://newyork.craigslist.org/mnh/roo/d/nov-to-begin-in-created-section-area-of/7014522609.html
42,https://newyork.craigslist.org/wch/roo/d/hartsdale-room-in-quiet-apartment/7014522853.html
43,https://newyork.craigslist.org/brk/roo/d/brooklyn-include-all-lovely-quiet-warm/6994963676.html
44,https://newyork.craigslist.org/que/roo/d/long-island-city-location-room-available/7010420224.html
45,https://newyork.craigslist.org/brk/roo/d/brooklyn-month-private-entrance-large/7014527450.html
46,https://newyork.craigslist.org/mnh/roo/d/new-york-huge-sunny-room-in-ues/7014526530.html
47,https://newyork.craigslist.org/brk/roo/d/brooklyn-immediate-and-serious-party/7014524187.html
48,https://newyork.craigslist.org/brk/roo/d/brooklyn-room-for-rent-in-crown-heights/7014526221.html
49,https://newyork.craigslist.org/mnh/roo/d/new-york-great-location/7014522743.html
50,https://newyork.craigslist.org/que/roo/d/elmhurst-room-with-private-balcony-for/7014519152.html
51,https://newyork.craigslist.org/brk/roo/d/brooklyn-room-in-lgbt-gay-friendly/7014521270.html
52,https://newyork.craigslist.org/mnh/roo/d/new-york-huge-sunlit-1br-available-in/7012702016.html
53,https://newyork.craigslist.org/mnh/roo/d/new-york-1400-bedroom-in-luxury-high/7014520113.html
54,https://newyork.craigslist.org/brk/roo/d/brooklyn-cozy-room-in-awesome/7011797067.html
55,https://newyork.craigslist.org/fct/roo/d/old-greenwich-br-2-brdm-greenwich-condo/7014519720.html
56,https://newyork.craigslist.org/fct/roo/d/old-greenwich-br-2-brdm-greenwich-condo/7014519584.html
57,https://newyork.craigslist.org/que/roo/d/sunnyside-one-room-available-in-3/7011286971.html
58,https://newyork.craigslist.org/brk/roo/d/brooklyn-1-private-bedroom-in-3-bed-1/7014514677.html
59,https://newyork.craigslist.org/brk/roo/d/brooklyn-park-slope-1-bd-in-shared-4-bd/7014515605.html
60,https://newyork.craigslist.org/que/roo/d/rego-park-one-spacious-bedroom-in-large/7014511555.html
61,https://newyork.craigslist.org/brk/roo/d/brooklyn-dekalb-himrod-asap-room-3bed-2/7014513872.html
62,https://newyork.craigslist.org/brk/roo/d/brooklyn-large-room-in-beautifully/7004692184.html
63,https://newyork.craigslist.org/brk/roo/d/brooklyn-asap-room-half-block-from/7014513160.html
64,https://newyork.craigslist.org/brk/roo/d/brooklyn-3-month-sublet-jan-feb-mar/7012148508.html
65,https://newyork.craigslist.org/brk/roo/d/brooklyn-lovely-room-in-spacious-3-bed/7014511767.html
66,https://newyork.craigslist.org/brx/roo/d/bronx-nice-room-for-rent/7014510898.html
67,https://newyork.craigslist.org/que/roo/d/rego-park-one-spacious-master-bedroom/7014509807.html
68,https://newyork.craigslist.org/mnh/roo/d/med-stdnt-trav-nurse-rsrchr-priv-rm/7012636934.html
69,https://newyork.craigslist.org/que/roo/d/astoria-unfurnished-room-for-rent-900/7014508866.html
70,https://newyork.craigslist.org/mnh/roo/d/new-york-furnished-master-bedroom-with/7014509150.html
71,https://newyork.craigslist.org/mnh/roo/d/new-york-rent-room-on-172nd-street/7014508309.html
72,https://newyork.craigslist.org/mnh/roo/d/new-york-dec-1-sep-30-columbus-circle/7010433231.html
73,https://newyork.craigslist.org/lgi/roo/d/brentwood-studio-for-rent/7014507192.html
74,https://newyork.craigslist.org/brk/roo/d/brooklyn-beautiful-room-in-greenpoint/7014507149.html
75,https://newyork.craigslist.org/que/roo/d/astoria-24-yo-professional-gay-man/7011846059.html
76,https://newyork.craigslist.org/mnh/roo/d/new-york-1-br-in-3-br-apt-luxury/7014504679.html
77,https://newyork.craigslist.org/mnh/roo/d/new-york-city-1-br-available-in-3br/7001104277.html
78,https://newyork.craigslist.org/fct/roo/d/stamford-take-over-room-until-mid-march/7012335991.html
79,https://newyork.craigslist.org/que/roo/d/jackson-heights-something-unique/7014492398.html
80,https://newyork.craigslist.org/mnh/roo/d/new-york-private-bedroom-currently/7014501197.html
81,https://newyork.craigslist.org/mnh/roo/d/new-york-city-gorgeous-furnished-room/7014500377.html
82,https://newyork.craigslist.org/que/roo/d/jackson-heights-december-month-rental/7014499963.html
83,https://newyork.craigslist.org/que/roo/d/woodhaven-ideal-for-senior-gay-male/7014499742.html
84,https://newyork.craigslist.org/brk/roo/d/brooklyn-looking-for-laid-back-and/7009894486.html
85,https://newyork.craigslist.org/jsy/roo/d/weehawken-value-room-near-manhattan/7014496820.html
86,https://newyork.craigslist.org/brk/roo/d/brooklyn-see-today-and-sign-tomorrow/7014490894.html
87,https://newyork.craigslist.org/brk/roo/d/steps-from-manhattan/7012700412.html
88,https://newyork.craigslist.org/que/roo/d/woodside-no-fee-room-for-rent-in/7012493814.html
89,https://newyork.craigslist.org/jsy/roo/d/weehawken-twin-bedroom-near-manhattan/7014494270.html
90,https://newyork.craigslist.org/brk/roo/d/brooklyn-room-shared-apt-in-prime/7007843434.html
91,https://newyork.craigslist.org/brk/roo/d/brooklyn-need-place-2-rms-in-massive/7014491184.html
92,https://newyork.craigslist.org/brk/roo/d/brooklyn-lovely-room-next-to-kosciuszko/7009840984.html
93,https://newyork.craigslist.org/brk/roo/d/brooklyn-see-and-sign-huge-basement-pri/7014489285.html
94,https://newyork.craigslist.org/mnh/roo/d/new-york-private-room-in-huge-5br/7014493265.html
95,https://newyork.craigslist.org/brk/roo/d/brooklyn-1-room-in-newly-renovated-only/7014487451.html
96,https://newyork.craigslist.org/brx/roo/d/bronx-two-large-bedrooms-in-beautiful/7014492382.html
97,https://newyork.craigslist.org/que/roo/d/astoria-cuarto-disponible/7014490146.html
98,https://newyork.craigslist.org/que/roo/d/hollis-room-for-rent/7014443882.html
99,https://newyork.craigslist.org/mnh/roo/d/new-york-large-furnished-room-with/7014486454.html
100,https://newyork.craigslist.org/brk/roo/d/brooklyn-ready-to-move-in-twin-room/7014471275.html
101,https://newyork.craigslist.org/brk/roo/d/brooklyn-bushwick-sublet-available/7010695308.html
102,https://newyork.craigslist.org/mnh/roo/d/new-york-w75th-st-one-bed-room-with/7002294464.html
103,https://newyork.craigslist.org/brk/roo/d/brooklyn-1-bedroom-in-beautiful/7004863949.html
104,https://newyork.craigslist.org/brk/roo/d/brooklyn-1-bedroom-in-beautiful/7004869331.html
105,https://newyork.craigslist.org/brk/roo/d/brooklyn-best-deal-8-min-walk-to-25/7014481579.html
106,https://newyork.craigslist.org/wch/roo/d/mount-vernon-furnished-room/7005769082.html
107,https://newyork.craigslist.org/brk/roo/d/brooklyn-splendid-drenched-1-bedroom/7014451000.html
108,https://newyork.craigslist.org/mnh/roo/d/bronx-big-room-in-big-apartment-util/7014478781.html
109,https://newyork.craigslist.org/que/roo/d/woodside-room-for-rent-woodside/7010283680.html
110,https://newyork.craigslist.org/que/roo/d/richmond-hill-3-single-rms-monthly-107/7014477581.html
111,https://newyork.craigslist.org/fct/roo/d/furnished-single-bedroom-with-private/7014477341.html
112,https://newyork.craigslist.org/mnh/roo/d/new-york-room-for-rent/7014471359.html
113,https://newyork.craigslist.org/brk/roo/d/brooklyn-clean-shiny-room-near/7014476552.html
114,https://newyork.craigslist.org/jsy/roo/d/cliffside-park-furnished-1-bedroom/7007806824.html
115,https://newyork.craigslist.org/mnh/roo/d/new-york-room-for-rent-in-hamilton/7014475459.html
116,https://newyork.craigslist.org/brk/roo/d/brooklyn-bayridge-large-studio-4th-ave/7014473378.html
117,https://newyork.craigslist.org/mnh/roo/d/new-york-huge-room-4-rent-asap-move/7014407072.html
118,https://newyork.craigslist.org/brk/roo/d/new-york-1br-sublease-in-sunny-3br-huge/7014470388.html
119,https://newyork.craigslist.org/mnh/roo/d/new-york-sunny-bdrm-pvt-bath-in-2br/7014434159.html
120,https://newyork.craigslist.org/mnh/roo/d/new-york-city-spacious-bedroom-private/7011876071.html
121,https://newyork.craigslist.org/que/roo/d/ridgewood-no-security-deposit-1300/7014468919.html
122,https://newyork.craigslist.org/mnh/roo/d/new-york-one-bedroom-bathroom-in-2-2-at/7014467024.html
123,https://newyork.craigslist.org/que/roo/d/corona-se-renta-cuarto/7011039481.html
124,https://newyork.craigslist.org/brx/roo/d/bronx-new-beginnings/7010273957.html
125,https://newyork.craigslist.org/que/roo/d/sunnyside-really-nice-private-room/7008282429.html
126,https://newyork.craigslist.org/lgi/roo/d/plainview-house-share-plainview/7011942101.html
127,https://newyork.craigslist.org/mnh/roo/d/new-york-small-furnished-room-with/7014463397.html
128,https://newyork.craigslist.org/mnh/roo/d/new-york-completely-furnished-2/7012946571.html
129,https://newyork.craigslist.org/mnh/roo/d/new-york-urgent-room-to-share-in-the/7014446316.html
130,https://newyork.craigslist.org/brk/roo/d/brooklyn-bright-sunny-master-bedroom-in/7014449102.html
131,https://newyork.craigslist.org/que/roo/d/elmhurst-room-for-rent-cuarto-dispon/7014461701.html
132,https://newyork.craigslist.org/brk/roo/d/brooklyn-private-room-in-bushwick-apt/7014460955.html
133,https://newyork.craigslist.org/mnh/roo/d/new-york-sublet-in-2bd-west-harlem-apt/7011650465.html
